igekötő	reduplikáció	fele	deverbális_tagadás	fokozhatóság	szerkesztettség	szótagszám	gyakoriság	Pm	Pt	Pl	személyragozhatóság
abba	1.999274612025652	-0.3657506624056368	-0.47718032296689283	-0.3092766134932665	0.5367826312580719	-0.009709679391212825	1.1757244077808455	-0.40942685781403526	-0.5286015593599096	-0.7736895006112587	-0.22514716129596385
ágyba	-0.44821864377017345	-0.3657506624056368	-0.47718032296689283	-0.3092766134932665	0.5367826312580719	-0.009709679391212825	-0.49649329856837676	-0.40942685781403526	-0.3540980374043069	1.81751187757645	-0.22514716129596385
agyon	1.5416329711369008	-0.3657506624056368	-0.47718032296689283	-0.3092766134932665	0.5367826312580719	-0.009709679391212825	1.1086123507348693	2.0723638416924532	2.3263510150819813	0.05160227952542584	-0.22514716129596385
ajtót	-0.44821864377017345	-0.3657506624056368	-0.47718032296689283	-0.3092766134932665	0.5367826312580719	-0.009709679391212825	-1.7046217125494405	-0.5316674280384568	-0.5286015593599096	2.14937991835261	-0.22514716129596385
alá	2.3638723923871092	2.6156082926223547	2.351468399064548	3.3479636683413716	-1.862951484954484	-0.009709679391212825	1.430215832282303	1.9086151772653799	1.9591993568632644	-0.6623983289011721	4.4415380186025875
alább	-0.44821864377017345	-0.3657506624056368	-0.47718032296689283	-0.3092766134932665	-1.862951484954484	-0.009709679391212825	0.6916895798207668	-0.4699565590349341	-0.46930404449738256	-0.7091162882836991	-0.22514716129596385
állást	-0.44821864377017345	-0.3657506624056368	-0.47718032296689283	-0.3092766134932665	0.5367826312580719	-0.009709679391212825	-0.7099248792230752	-0.5316674280384568	-0.5286015593599096	-0.7765332544041295	-0.22514716129596385
által	-0.44821864377017345	-0.3657506624056368	-0.47718032296689283	-0.3092766134932665	-1.862951484954484	-0.009709679391212825	0.8376210395716981	0.18463805294185628	0.3814447249609465	-0.3627917179088424	-0.22514716129596385
alul	-0.44821864377017345	-0.3657506624056368	-0.47718032296689283	-0.3092766134932665	-1.862951484954484	-0.009709679391212825	1.0650116371163563	0.625469889730939	0.7306155942433177	-0.5349676610190712	-0.22514716129596385
arcul	-0.44821864377017345	-0.3657506624056368	-0.47718032296689283	-0.3092766134932665	0.5367826312580719	-0.009709679391212825	-0.6053055474837832	-0.4699565590349341	-0.46930404449738256	1.3523810020262919	-0.22514716129596385
át	2.4847833278567264	2.730080202852351	2.354266723479987	-0.3092766134932665	-1.862951484954484	-2.2864430387622816	1.7296543624200074	2.7077784641766915	2.5785150838426905	-0.6925306655550103	-0.22514716129596385
be/bé	2.4853222280784757	2.845058994103631	2.3575038359522145	3.3479659306451444	-1.862951484954484	-2.2864430387622816	1.8803604534323217	2.708901877800825	2.579722258376194	-0.7313965496335186	-0.22514716129596385
békén	-0.44821864377017345	-0.3657506624056368	-0.47718032296689283	-0.3092766134932665	0.5367826312580719	-0.009709679391212825	-0.23776137810314524	-0.5316674280384568	-0.5286015593599096	-0.32226389724710336	-0.22514716129596385
bele/belé	2.485267130950232	2.7777824197667185	2.2844315845616077	-0.3092766134932665	-1.862951484954484	-0.009709679391212825	1.6338748784394492	2.7076467944476295	2.5782418762885184	-0.6218744752566624	4.441539660284312
benn	-0.44821864377017345	-0.3657506624056368	-0.47718032296689283	2.7307087481530927	-1.862951484954484	-2.2864430387622816	0.7871701634643334	-0.23469972212819493	-0.3540980374043069	-0.673314627618371	-0.22514716129596385
bent	-0.44821864377017345	-0.3657506624056368	1.5201098732136917	3.3303831259557897	-1.862951484954484	-2.2864430387622816	0.23389428991977115	-0.3500556016908182	-0.41114350750342943	-0.3412453952088236	-0.22514716129596385
