	prefixed_FIN	post_FIN	prefixed-Ás	prefixed-(O)(t)t	prefixed-ni_without_inter_aux	prefixed-Ó	prev-ni_with_inter_aux	prefixed-vA_simple	prefixed-tAl	prefixed-hAtÓ	prefixed-i	prefixed-(A)n	prev_FIN	prefixed-sÁg	prefixed-hAtAtlAn	post-hAtÓ	prefixed-vA_passive	prefixed-ÓlAg	prev-vA_passive	prefixed-AndÓ	prefixed-Ú	prefixed-tA	prefixed-(A)tlAn	prefixed_leg-...-bb	prefixed-(V)s	prefixed-Ul	prev-(O)(t)t	prefixed-Ós	prefixed-bb	post-vA_simple	prev-hAtÓ	prev-Ó	prefixed-vÁn_simple	prev-ni_without_inter_aux	no_hogy_FIN	hogy_FIN	post-ni_without_inter_aux	prefixed-tAlAn	prev-Ás	prefixed-nivaló	prev-AndÓ	prev-vA_simple	post-AndÓ	prefixed-szerű	prefixed-beli/béli	post-ni_with_inter_aux	prefixed-(O)nként	prefixed-sdi	post-vÁn_simple	prev-(A)n	prev-i	prev-sÁg	prefixed-ilAg	-ni_aux_topicalization	prev-tAl	-ni_FIN_topicalization	prefixed-féle	prev-vÁn_simple	prefixed-nyi	prefixed-hAtnék	prefixed-fajta	no_hogy-vA_passive	hogy-vA_passive	prefixed-vÁst	prefixed-(V)cskA	prev-tA	no_hogy-ni	prefixed_leg-...-bbik	prefixed-szerűség	hogy-ni	prefixed-stUl/-stÓl	prev-Ós	-vA_passive_topicalization	prev-hAtAtlAn	prefixed-féleség	prev_leg-...-bb	prefixed-belileg	prefixed-bbik	prev-(A)tlAn	prefixed-vÁn_passive	prefixed-forma	prev-nivaló	prev-bb	prev-Ul	post-bb	hogy-hAtÓ	hogy-Ás	hogy-(O)(t)t	hogy_double_conj	no_hogy-hAtÓ	no_hogy_double_conj	no_hogy-ni_conj	prev-sdi	prev-ÓlAg
meg	3653584	2067862	1834275	643429	716783	541245	286335	91564	16397	134387	44292	160459	107294	24416	32281	38027	19982	5312	21078	24268	5193	2520	13435	9435	3586	4468	8834	628	2243	2697	1619	2447	2800	2958	2675	2808	2250	10	1539	351	34	752	367	634	227	46	45	63	108	75	250	107	37	60	21	34	38	29	5	7	5	4	3	1	1	9	6	3	7	4	0	1	5	3	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0
el	2386639	1389865	1090672	812098	461222	201703	159074	65372	4223	157568	58350	35399	56187	45569	70690	31263	17842	369	12735	21670	18104	6744	2125	8138	391	6269	2409	561	2373	1200	1615	1454	1604	667	1357	1346	441	4	486	546	19	188	159	15	219	16	97	52	72	39	4	80	48	55	2	27	10	14	2	5	21	2	0	0	2	1	5	4	0	4	2	4	0	1	1	2	0	1	0	2	1	2	0	1	2	0	0	0	0	0	0	0	0	0
ki	1387195	1109826	1016347	471492	307272	244661	105136	95472	83450	38238	55689	103593	33739	36557	17107	12609	22618	69509	15039	8762	11850	384	9594	9170	7468	4933	2750	4970	3895	1485	765	257	974	459	499	557	544	6473	246	1746	12	172	165	82	126	44	58	288	72	29	1	22	24	19	2	14	5	8	13	8	7	2	5	4	8	0	3	8	1	3	2	1	3	0	0	0	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
fel/föl	957721	699244	858342	253691	226077	152822	66217	54906	237138	37980	69568	36541	20982	21341	7249	9783	14002	7896	8629	4123	14396	301	3320	2052	517	1828	2529	698	537	1013	749	213	851	265	312	352	294	0	199	146	7	157	64	47	338	18	214	41	61	11	1	16	45	15	87	11	6	9	19	2	4	6	7	1	2	0	2	0	2	0	4	1	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
be/bé	930634	714179	775121	270922	216542	189462	69839	28412	99436	29250	103215	3731	23876	6057	6210	7823	13583	1631	10760	7047	8495	5634	5308	2594	6534	768	2555	3579	306	526	293	507	572	278	686	484	201	6	1717	202	8	122	68	28	22	19	93	57	33	23	19	10	31	17	0	12	4	4	2	2	4	4	3	3	6	2	2	0	0	2	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
le	733055	351924	291222	143840	139568	75576	52448	38877	3052	29156	15773	2863	17979	5680	5089	5535	7328	52	10760	6009	1678	22779	891	298	358	582	894	684	98	372	394	110	438	249	262	222	143	275	57	80	6	69	19	8	5	10	37	52	20	3	3	5	19	18	5	7	7	0	5	3	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
át	287753	218125	218787	50453	64961	77371	25698	16517	16813	10658	18206	3057	5044	10809	4949	1480	1292	6	984	1347	391	26	1728	896	672	454	423	501	248	284	320	88	188	65	147	143	102	0	43	27	2	46	9	8	2	3	10	30	20	6	1	6	5	5	18	3	0	1	5	0	2	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
össze	206928	160548	264143	68131	44276	52833	13739	23679	24611	11855	9844	3722	3611	8920	4789	3577	2843	45	2338	924	1938	16	174	528	76	1263	91	287	2006	146	790	485	148	44	63	62	59	310	41	3	6	12	632	24	15	3	9	29	6	24	0	10	11	0	0	2	0	0	1	1	0	1	1	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vissza	305613	160577	169377	28916	59381	33459	27653	19116	1479	6557	6721	3775	6399	1747	3350	7016	436	4966	414	1397	39	592	16	222	162	1097	233	214	13	202	326	437	368	140	151	148	144	0	83	11	2968	43	18	141	0	45	0	16	8	3	6	5	0	3	1	0	3	1	1	3	2	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
elő	165952	168162	281452	60879	28356	50196	7322	2824	3204	3312	18049	235	1719	525	34	1332	1334	1	920	795	348	10	565	4	1722	141	49	2644	2	264	32	52	66	26	25	36	26	0	2	1	1	3	6	101	14	0	139	0	16	0	0	1	2	0	0	2	3	0	2	1	2	2	0	0	2	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
