	prefixed_FIN	post_FIN	prefixed-Ás	prefixed-(O)(t)t	prefixed-ni_without_inter_aux	prefixed-Ó	prev-ni_with_inter_aux	prefixed-vA_simple	prefixed-tAl	prefixed-hAtÓ	prefixed-i	prefixed-(A)n	prev_FIN	prefixed-sÁg	prefixed-hAtAtlAn	post-hAtÓ	prefixed-vA_passive	prefixed-ÓlAg	prev-vA_passive	prefixed-AndÓ	prefixed-Ú	prefixed-tA	prefixed-(A)tlAn	prefixed_leg-...-bb	prefixed-(V)s	prefixed-Ul	prev-(O)(t)t	prefixed-Ós	prefixed-bb	post-vA_simple	prev-hAtÓ	prev-Ó	prefixed-vÁn_simple	prev-ni_without_inter_aux	no_hogy_FIN	hogy_FIN	post-ni_without_inter_aux	prefixed-tAlAn	prev-Ás	prefixed-nivaló	prev-AndÓ	prev-vA_simple	post-AndÓ	prefixed-szerű	prefixed-beli/béli	post-ni_with_inter_aux	prefixed-(O)nként	prefixed-sdi	post-vÁn_simple	prev-(A)n	prev-i	prev-sÁg	prefixed-ilAg	-ni_aux_topicalization	prev-tAl	-ni_FIN_topicalization	prefixed-féle	prev-vÁn_simple	prefixed-nyi	prefixed-hAtnék	prefixed-fajta	no_hogy-vA_passive	hogy-vA_passive	prefixed-vÁst	prefixed-(V)cskA	prev-tA	no_hogy-ni	prefixed_leg-...-bbik	prefixed-szerűség	hogy-ni	prefixed-stUl/-stÓl	prev-Ós	-vA_passive_topicalization	prev-hAtAtlAn	prefixed-féleség	prev_leg-...-bb	prefixed-belileg	prefixed-bbik	prev-(A)tlAn	prefixed-vÁn_passive	prefixed-forma	prev-nivaló	prev-bb	prev-Ul	post-bb	hogy-hAtÓ	hogy-Ás	hogy-(O)(t)t	hogy_double_conj	no_hogy-hAtÓ	no_hogy_double_conj	no_hogy-ni_conj	prev-sdi	prev-ÓlAg
meg	28.86	24.26	23.28	21.14	27.96	29.61	29.37	16.58	3.05	26.4	8.98	42.11	30.65	13.5	20.12	29.99	17.82	5.42	22.09	29.29	7.95	5.08	35.83	25.75	11.33	18.49	40.41	3.56	16.35	26.08	17.45	26.94	31.03	36.29	35.9	38.7	31.39	0.14	28.71	9.61	1.1	32.44	22.6	47	20.29	4.8	6.09	9.21	19.32	23.89	85.91	38.21	14.23	29.7	13.46	28.33	45.78	36.71	6.67	12.07	10.42	16	13.04	4.55	4.55	42.86	30	15.79	38.89	23.53	-0.01	7.14	55.56	42.86	16.67	16.67	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	50	-0.01	-0.01	100	100	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
el	18.85	16.31	13.84	26.68	17.99	11.04	16.31	11.84	0.78	30.96	11.83	9.29	16.05	25.2	44.06	24.65	15.91	0.38	13.35	26.16	27.71	13.59	5.67	22.21	1.24	25.95	11.02	3.18	17.3	11.6	17.4	16.01	17.77	8.18	18.21	18.55	6.15	0.06	9.07	14.95	0.61	8.11	9.79	1.11	19.57	1.67	13.13	7.6	12.88	12.42	1.37	28.57	18.46	27.23	1.28	22.5	12.05	17.72	2.67	8.62	43.75	8	-0.01	-0.01	9.09	4.76	25	21.05	-0.01	23.53	13.33	28.57	-0.01	14.29	16.67	33.33	-0.01	33.33	-0.01	66.67	50	100	-0.01	50	100	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
ki	10.96	13.02	12.9	15.49	11.99	13.39	10.78	17.29	15.51	7.51	11.29	27.18	9.64	20.21	10.66	9.94	20.17	70.98	15.76	10.58	18.13	0.77	25.59	25.03	23.6	20.42	12.58	28.2	28.4	14.36	8.24	2.83	10.79	5.63	6.7	7.68	7.59	91.27	4.59	47.82	0.39	7.42	10.16	6.08	11.26	4.59	7.85	42.11	12.88	9.24	0.34	7.86	9.23	9.41	1.28	11.67	6.02	10.13	17.33	13.79	14.58	8	21.74	18.18	36.36	-0.01	15	42.11	5.56	17.65	13.33	7.14	33.33	-0.01	-0.01	-0.01	-0.01	66.67	66.67	-0.01	-0.01	-0.01	-0.01	50	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
fel/föl	7.57	8.2	10.89	8.33	8.82	8.36	6.79	9.94	44.08	7.46	14.1	9.59	5.99	11.8	4.52	7.71	12.48	8.06	9.04	4.98	22.03	0.61	8.85	5.6	1.63	7.57	11.57	3.96	3.92	9.8	8.07	2.35	9.43	3.25	4.19	4.85	4.1	-0.01	3.71	4	0.23	6.77	3.94	3.48	30.21	1.88	28.96	5.99	10.91	3.5	0.34	5.71	17.31	7.43	55.77	9.17	7.23	11.39	25.33	3.45	8.33	24	30.43	4.55	9.09	-0.01	10	-0.01	11.11	-0.01	26.67	7.14	-0.01	-0.01	33.33	-0.01	100	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	100	100	-0.01	-0.01
be/bé	7.35	8.38	9.84	8.9	8.45	10.37	7.16	5.14	18.48	5.75	20.93	0.98	6.82	3.35	3.87	6.17	12.11	1.67	11.28	8.51	13	11.35	14.16	7.08	20.65	3.18	11.69	20.31	2.23	5.09	3.16	5.58	6.34	3.41	9.21	6.67	2.8	0.08	32.03	5.53	0.26	5.26	4.19	2.08	1.97	1.98	12.58	8.33	5.9	7.32	6.53	3.57	11.92	8.42	-0.01	10	4.82	5.06	2.67	3.45	8.33	16	13.04	13.64	27.27	9.52	10	-0.01	-0.01	11.76	20	14.29	-0.01	14.29	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
le	5.79	4.13	3.7	4.72	5.44	4.13	5.38	7.04	0.57	5.73	3.2	0.75	5.14	3.14	3.17	4.36	6.53	0.05	11.28	7.25	2.57	45.9	2.38	0.81	1.13	2.41	4.09	3.88	0.71	3.6	4.25	1.21	4.85	3.05	3.52	3.06	2	3.88	1.06	2.19	0.19	2.98	1.17	0.59	0.45	1.04	5.01	7.6	3.58	0.96	1.03	1.79	7.31	8.91	3.21	5.83	8.43	-0.01	6.67	5.17	-0.01	-0.01	4.35	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	6.67	-0.01	11.11	14.29	16.67	-0.01	-0.01	-0.01	33.33	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	100	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
át	2.27	2.56	2.78	1.66	2.53	4.23	2.64	2.99	3.12	2.09	3.69	0.8	1.44	5.98	3.08	1.17	1.15	0.01	1.03	1.63	0.6	0.05	4.61	2.45	2.12	1.88	1.93	2.84	1.81	2.75	3.45	0.97	2.08	0.8	1.97	1.97	1.42	-0.01	0.8	0.74	0.06	1.98	0.55	0.59	0.18	0.31	1.35	4.39	3.58	1.91	0.34	2.14	1.92	2.48	11.54	2.5	-0.01	1.27	6.67	-0.01	4.17	-0.01	-0.01	-0.01	-0.01	-0.01	10	-0.01	-0.01	5.88	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
össze	1.63	1.88	3.35	2.24	1.73	2.89	1.41	4.29	4.57	2.33	2	0.98	1.03	4.93	2.99	2.82	2.53	0.05	2.45	1.12	2.97	0.03	0.46	1.44	0.24	5.23	0.42	1.63	14.63	1.41	8.51	5.34	1.64	0.54	0.85	0.85	0.82	4.37	0.76	0.08	0.19	0.52	38.92	1.78	1.34	0.31	1.22	4.24	1.07	7.64	-0.01	3.57	4.23	-0.01	-0.01	1.67	-0.01	-0.01	1.33	1.72	-0.01	4	4.35	4.55	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	13.33	-0.01	-0.01	-0.01	-0.01	16.67	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
vissza	2.41	1.88	2.15	0.95	2.32	1.83	2.84	3.46	0.27	1.29	1.36	0.99	1.83	0.97	2.09	5.53	0.39	5.07	0.43	1.69	0.06	1.19	0.04	0.61	0.51	4.54	1.07	1.21	0.09	1.95	3.51	4.81	4.08	1.72	2.03	2.04	2.01	-0.01	1.55	0.3	96.05	1.86	1.11	10.45	-0.01	4.69	-0.01	2.34	1.43	0.96	2.06	1.79	-0.01	1.49	0.64	-0.01	3.61	1.27	1.33	5.17	4.17	-0.01	-0.01	9.09	-0.01	-0.01	-0.01	5.26	5.56	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	100	-0.01	-0.01	-0.01	-0.01
elő	1.31	1.97	3.57	2	1.11	2.75	0.75	0.51	0.6	0.65	3.66	0.06	0.49	0.29	0.02	1.05	1.19	0	0.96	0.96	0.53	0.02	1.51	0.01	5.44	0.58	0.22	15	0.01	2.55	0.34	0.57	0.73	0.32	0.34	0.5	0.36	-0.01	0.04	0.03	0.03	0.13	0.37	7.49	1.25	-0.01	18.81	-0.01	2.86	-0.01	-0.01	0.36	0.77	-0.01	-0.01	1.67	3.61	-0.01	2.67	1.72	4.17	8	-0.01	-0.01	9.09	-0.01	-0.01	-0.01	27.78	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
