	prefixed_FIN	post_FIN	prefixed-Ás	prefixed-(O)(t)t	prefixed-ni_without_inter_aux	prefixed-Ó	prev-ni_with_inter_aux	prefixed-vA_simple	prefixed-tAl	prefixed-hAtÓ	prefixed-i	prefixed-(A)n	prev_FIN	prefixed-sÁg	prefixed-hAtAtlAn	post-hAtÓ	prefixed-vA_passive	prefixed-ÓlAg	prev-vA_passive	prefixed-AndÓ	prefixed-Ú	prefixed-tA	prefixed-(A)tlAn	prefixed_leg-...-bb	prefixed-(V)s	prefixed-Ul	prev-(O)(t)t	prefixed-Ós	prefixed-bb	post-vA_simple	prev-hAtÓ	prev-Ó	prefixed-vÁn_simple	prev-ni_without_inter_aux	no_hogy_FIN	hogy_FIN	post-ni_without_inter_aux	prefixed-tAlAn	prev-Ás	prefixed-nivaló	prev-AndÓ	prev-vA_simple	post-AndÓ	prefixed-szerű	prefixed-beli/béli	post-ni_with_inter_aux	prefixed-(O)nként	prefixed-sdi	post-vÁn_simple	prev-(A)n	prev-i	prev-sÁg	prefixed-ilAg	-ni_aux_topicalization	prev-tAl	-ni_FIN_topicalization	prefixed-féle	prev-vÁn_simple	prefixed-nyi	prefixed-hAtnék	prefixed-fajta	no_hogy-vA_passive	hogy-vA_passive	prefixed-vÁst	prefixed-(V)cskA	prev-tA	no_hogy-ni	prefixed_leg-...-bbik	prefixed-szerűség	hogy-ni	prefixed-stUl/-stÓl	prev-Ós	-vA_passive_topicalization	prev-hAtAtlAn	prefixed-féleség	prev_leg-...-bb	prefixed-belileg	prefixed-bbik	prev-(A)tlAn	prefixed-vÁn_passive	prefixed-forma	prev-nivaló	prev-bb	prev-Ul	post-bb	hogy-hAtÓ	hogy-Ás	hogy-(O)(t)t	hogy_double_conj	no_hogy-hAtÓ	no_hogy_double_conj	no_hogy-ni_conj	prev-sdi	prev-ÓlAg
meg	34.67	19.62	17.41	6.11	6.8	5.14	2.72	0.87	0.16	1.28	0.42	1.52	1.02	0.23	0.31	0.36	0.19	0.05	0.2	0.23	0.05	0.02	0.13	0.09	0.03	0.04	0.08	0.01	0.02	0.03	0.02	0.02	0.03	0.03	0.03	0.03	0.02	0	0.01	0	0	0.01	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.01	0	0	0	0	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	0	-0.01	-0.01	0	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
el	33.44	19.47	15.28	11.38	6.46	2.83	2.23	0.92	0.06	2.21	0.82	0.5	0.79	0.64	0.99	0.44	0.25	0.01	0.18	0.3	0.25	0.09	0.03	0.11	0.01	0.09	0.03	0.01	0.03	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.01	0	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.01	-0.01	0	0	0	0	-0.01	0	0	0	-0.01	0	0	0	-0.01	0	-0.01	0	0	0	-0.01	0	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
ki	26.15	20.92	19.16	8.89	5.79	4.61	1.98	1.8	1.57	0.72	1.05	1.95	0.64	0.69	0.32	0.24	0.43	1.31	0.28	0.17	0.22	0.01	0.18	0.17	0.14	0.09	0.05	0.09	0.07	0.03	0.01	0	0.02	0.01	0.01	0.01	0.01	0.12	0	0.03	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.01	0	0	0	0	0	0	0	-0.01	-0.01	-0.01	-0.01	0	0	-0.01	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
fel/föl	25.36	18.52	22.73	6.72	5.99	4.05	1.75	1.45	6.28	1.01	1.84	0.97	0.56	0.57	0.19	0.26	0.37	0.21	0.23	0.11	0.38	0.01	0.09	0.05	0.01	0.05	0.07	0.02	0.01	0.03	0.02	0.01	0.02	0.01	0.01	0.01	0.01	-0.01	0.01	0	0	0	0	0	0.01	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.01	0	-0.01	0	-0.01	0	0	-0.01	-0.01	0	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	0	0	-0.01	-0.01
be/bé	26.22	20.12	21.84	7.63	6.1	5.34	1.97	0.8	2.8	0.82	2.91	0.11	0.67	0.17	0.17	0.22	0.38	0.05	0.3	0.2	0.24	0.16	0.15	0.07	0.18	0.02	0.07	0.1	0.01	0.01	0.01	0.01	0.02	0.01	0.02	0.01	0.01	0	0.05	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.01	0	0	0	0	0	0	0	0	0	0	0	0	-0.01	-0.01	0	0	0	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
le	37.27	17.89	14.81	7.31	7.1	3.84	2.67	1.98	0.16	1.48	0.8	0.15	0.91	0.29	0.26	0.28	0.37	0	0.55	0.31	0.09	1.16	0.05	0.02	0.02	0.03	0.05	0.03	0	0.02	0.02	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.01	0	0	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	0	-0.01	0	0	0	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
át	27.64	20.95	21.01	4.85	6.24	7.43	2.47	1.59	1.61	1.02	1.75	0.29	0.48	1.04	0.48	0.14	0.12	0	0.09	0.13	0.04	0	0.17	0.09	0.06	0.04	0.04	0.05	0.02	0.03	0.03	0.01	0.02	0.01	0.01	0.01	0.01	-0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.01	0	0	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	0	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
össze	22.48	17.44	28.69	7.4	4.81	5.74	1.49	2.57	2.67	1.29	1.07	0.4	0.39	0.97	0.52	0.39	0.31	0	0.25	0.1	0.21	0	0.02	0.06	0.01	0.14	0.01	0.03	0.22	0.02	0.09	0.05	0.02	0	0.01	0.01	0.01	0.03	0	0	0	0	0.07	0	0	0	0	0	0	0	-0.01	0	0	-0.01	-0.01	0	-0.01	-0.01	0	0	-0.01	0	0	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
vissza	35.69	18.75	19.78	3.38	6.94	3.91	3.23	2.23	0.17	0.77	0.78	0.44	0.75	0.2	0.39	0.82	0.05	0.58	0.05	0.16	0	0.07	0	0.03	0.02	0.13	0.03	0.02	0	0.02	0.04	0.05	0.04	0.02	0.02	0.02	0.02	-0.01	0.01	0	0.35	0.01	0	0.02	-0.01	0.01	-0.01	0	0	0	0	0	-0.01	0	0	-0.01	0	0	0	0	0	-0.01	-0.01	0	-0.01	-0.01	-0.01	0	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01
elő	20.67	20.94	35.05	7.58	3.53	6.25	0.91	0.35	0.4	0.41	2.25	0.03	0.21	0.07	0	0.17	0.17	0	0.11	0.1	0.04	0	0.07	0	0.21	0.02	0.01	0.33	0	0.03	0	0.01	0.01	0	0	0	0	-0.01	0	0	0	0	0	0.01	0	-0.01	0.02	-0.01	0	-0.01	-0.01	0	0	-0.01	-0.01	0	0	-0.01	0	0	0	0	-0.01	-0.01	0	-0.01	-0.01	-0.01	0	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
