igekötő	reduplikáció	-fele/felé	fokozhatóság	szerkesztettség	szótagszám	gyakoriság	Pm	Pt	Pl	személyragozhatóság
abba	0.00025	0	0	0.00565	0.00427	0.0009	0.0001	0	0	0
ágyba	0	0	0	0.00565	0.00427	0	0.0002	0.0003	0.0097	0
agyon	0.00012	0	0	0.00565	0.00427	0.00062	0.00821	0.01253	0.00135	0
ajtót	0	0	0	0.00565	0.00427	0	0	0	0.03881	0
alá	0.00074	0.00018	0.01837	0	0.00427	0.00342	0.00701	0.00812	0.00016	0.00457
alább	0	0	0	0	0.00427	0.0001	0.0001	0.0001	0.00009	0
állást	0	0	0	0.00565	0.00427	0	0	0	0	0
által	0	0	0	0	0.00427	0.00019	0.0013	0.0017	0.00061	0
alul	0	0	0	0	0.00427	0.0005	0.0022	0.00261	0.00035	0
arcul	0	0	0	0.00565	0.00427	0	0.0001	0.0002	0.00706	0
át	0.02185	0.00027	0	0	0.00214	0.02315	0.04075	0.0399	0.00012	0
be	0.07834	0.09557	0.05868	0	0.00214	0.07484	0.00581	0.00722	0.00425	0
bé	0	0.00055	0	0	0.00214	0.00012	0.0763	0.07037	0.00006	0
békén	0	0	0	0.00565	0.00427	0	0	0	0.00068	0
bele	0.05562	0.00036	0	0	0.00427	0.01197	0.03955	0.03829	0.00022	0.08247
belé	0.00062	0	0	0	0.00427	0.00012	0.00641	0.00832	0.00463	0
benn	0	0	0.00007	0	0.00214	0.00015	0.0005	0.0003	0.00014	0
bent	0	0	0.0005	0	0.00214	0.00002	0.0003	0.0002	0.00065	0
bérbe	0	0	0	0.00565	0.00427	0.00001	0	0	0	0
bosszút	0	0	0	0.00565	0.00427	0	0	0	0	0
célba	0	0	0	0.00565	0.00427	0.00001	0.0002	0.0002	0.00216	0
cserben	0	0	0	0.00565	0.00427	0.0001	0	0	0	0
csődbe	0	0	0	0.00565	0.00427	0	0.0001	0	0.00086	0
csonttá	0	0	0	0.00565	0.00427	0	0	0	0	0
csúcsra	0	0	0	0.00565	0.00427	0	0	0	0.00485	0
égbe	0	0	0	0.00565	0.00427	0	0.0001	0.0001	0.02328	0
egybe	0	0	0	0.00565	0.00427	0.00081	0.00491	0.00581	0.00049	0
egyet	0	0	0	0.00565	0.00427	0.00599	0	0	0	0
együtt	0	0	0	0	0.00427	0.0009	0.0001	0	0	0
éhen	0	0	0	0.00565	0.00427	0.00002	0.0001	0.0001	0.00029	0
el	0.15407	0.01258	0.00022	0	0.00214	0.19147	0.09953	0.09523	0.00003	0
elé	0.00025	0.00027	0.0005	0	0.00427	0.00006	0.0025	0.00321	0.00347	0.05483
élen	0	0	0	0.00565	0.00427	0.00001	0	0	0	0
életben	0	0	0	0.00565	0.00641	0	0.0001	0	0.00353	0
életre	0	0	0	0.00565	0.00641	0	0.0001	0.0001	0.00177	0
ellen	0	0	0	0	0.00427	0.00044	0	0	0	0
ellent	0	0	0	0.00565	0.00427	0.00052	0	0	0	0
elő	0.02967	0	0	0	0.00427	0.01326	0.01011	0.01173	0.00006	0
előre	0.0005	0.0021	0.15094	0.00565	0.00641	0.00102	0.00741	0.00782	0.00052	0
érvénybe	0	0	0	0.00565	0.00641	0	0	0	0	0
észhez	0	0	0	0.00565	0.00427	0	0.0001	0	0.00323	0
észre	0	0	0	0.00565	0.00427	0.00164	0.0001	0	0	0
falra	0	0	0	0.00565	0.00427	0	0.0001	0.0001	0.00243	0
fejbe	0	0	0	0.00565	0.00427	0.00004	0.0006	0.0008	0.0012	0
fejen	0	0	0	0.00565	0.00427	0	0.0002	0.0003	0.01455	0
fel	0.14451	0.17135	0.18667	0	0.00214	0.07143	0.05057	0.0423	0.00004	0
félbe	0	0	0	0.00565	0.00427	0.00034	0.0006	0.0008	0.00015	0
félre	0.00087	0	0.00057	0.00565	0.00427	0.00154	0.00631	0.00652	0.00028	0
felül	0	0	0	0	0.00427	0.00139	0.0017	0.0016	0.00008	0
fenn	0.00012	0	0.00007	0	0.00214	0.00304	0.0003	0.0002	0	0
férjhez	0	0	0	0.00565	0.00427	0	0.0001	0	0.00118	0
főbe	0	0	0	0.00565	0.00427	0.00001	0.0001	0.0001	0.00129	0
föl	0.03389	0.08508	0.02389	0	0.00214	0.00526	0.02854	0.02466	0.00031	0
földet	0	0	0	0.00565	0.00427	0	0	0	0	0
földhöz	0	0	0	0.00565	0.00427	0.00001	0.0001	0.0001	0.0007	0
földre	0	0	0	0.00565	0.00427	0	0.0002	0.0004	0.01293	0
fölé	0	0	0	0	0.00427	0.00002	0.0014	0.0019	0.00649	0.00703
fölül	0	0	0	0	0.00427	0.00004	0.0004	0.0003	0.00055	0
fönn	0.00012	0	0.00007	0	0.00214	0.00012	0.0001	0	0.00003	0
fülön	0	0	0	0.00565	0.00427	0	0.0001	0.0002	0.00431	0
füstbe	0	0	0	0.00565	0.00427	0	0.0001	0.0001	0.00862	0
görcsbe	0	0	0	0.00565	0.00427	0	0	0	0	0
gúzsba	0	0	0	0.00565	0.00427	0	0	0	0	0
hadat	0	0	0	0.00565	0.00427	0	0	0	0	0
hadba	0	0	0	0.00565	0.00427	0	0.0001	0.0001	0.00555	0
hajba	0	0	0	0.00565	0.00427	0	0	0	0	0
hanyatt	0	0	0	0	0.00427	0.00001	0.0002	0.0002	0.0016	0
harcba	0	0	0	0.00565	0.00427	0	0	0	0.00647	0
hasba	0	0	0	0.00565	0.00427	0	0.0001	0.0002	0.00473	0
hasra	0	0	0	0.00565	0.00427	0.00001	0.0003	0.0002	0.00246	0
hatályba	0	0	0	0.00565	0.00641	0	0	0	0	0
hátba	0	0	0	0.00565	0.00427	0.00002	0.0004	0.0005	0.00218	0
hátra	0.0036	0.01432	0.12899	0.00565	0.00427	0.00068	0.00611	0.00652	0.00064	0
haza	0.00273	0.10952	0	0	0.00427	0.00365	0.00751	0.00682	0.00013	0
házhoz	0	0	0	0.00565	0.00427	0	0.0001	0.0001	0.0097	0
hegyet	0	0	0	0.00565	0.00427	0	0	0	0.03881	0
helybe	0	0	0	0.00565	0.00427	0	0.0001	0.0001	0.00706	0
helyben	0	0	0	0.00565	0.00427	0.00014	0.0001	0.0001	0.00007	0
helyre	0.00012	0	0	0.00565	0.00427	0.00094	0.0015	0.002	0.00015	0
