igekötő	reduplikáció	-fele/felé	fokozhatóság	szerkesztettség	szótagszám	gyakoriság	Pm	Pt	Pl	személyragozhatóság
abba	0.00025	0	0	0.00565	0.0044	0.0009	0.0002	0	0	0
ágyba	0	0	0	0.00565	0.0044	0	0.0002	0.0003	0.01013	0
agyon	0.00012	0	0	0.00565	0.0044	0.00062	0.00851	0.01304	0.00141	0
ajtót	0	0	0	0.00565	0.0044	0	0	0	0.04054	0
alá	0.00074	0.00018	0.01837	0	0.0044	0.00342	0.00731	0.00843	0.00017	0.00457
alább	0	0	0	0	0.0044	0.0001	0.0001	0.0001	0.0001	0
állást	0	0	0	0.00565	0.0044	0	0	0	0	0
által	0	0	0	0	0.0044	0.00019	0.0013	0.00181	0.00064	0
alul	0	0	0	0	0.0044	0.0005	0.0023	0.00271	0.00036	0
arcul	0	0	0	0.00565	0.0044	0	0.0002	0.0002	0.00737	0
át	0.02185	0.00027	0	0	0.0022	0.02315	0.04233	0.04173	0.00012	0
be/bé	0.07834	0.09612	0.05868	0	0.0022	0.07496	0.07996	0.07423	0.00006	0
békén	0	0	0	0.00565	0.0044	0	0	0	0.00071	0
bele/belé	0.05624	0.00036	0	0	0.0044	0.01209	0.04173	0.04063	0.00023	0.08247
benn	0	0	0.00007	0	0.0022	0.00015	0.0005	0.0003	0.00015	0
bent	0	0	0.0005	0	0.0022	0.00002	0.0003	0.0002	0.00068	0
bérbe	0	0	0	0.00565	0.0044	0.00001	0	0	0	0
bosszút	0	0	0	0.00565	0.0044	0	0	0	0	0
célba	0	0	0	0.00565	0.0044	0.00001	0.0002	0.0002	0.00225	0
cserben	0	0	0	0.00565	0.0044	0.0001	0	0	0	0
csődbe	0	0	0	0.00565	0.0044	0	0.0001	0	0.0009	0
csonttá	0	0	0	0.00565	0.0044	0	0	0	0	0
csúcsra	0	0	0	0.00565	0.0044	0	0	0	0.00507	0
égbe	0	0	0	0.00565	0.0044	0	0.0001	0.0001	0.02432	0
egybe	0	0	0	0.00565	0.0044	0.00081	0.0051	0.00612	0.00051	0
egyet	0	0	0	0.00565	0.0044	0.00599	0	0	0	0
együtt	0	0	0	0	0.0044	0.0009	0.0001	0	0	0
éhen	0	0	0	0.00565	0.0044	0.00002	0.0002	0.0001	0.0003	0
el	0.15407	0.01258	0.00022	0	0.0022	0.19147	0.10358	0.09941	0.00004	0
elé	0.00025	0.00027	0.0005	0	0.0044	0.00006	0.0026	0.00331	0.00363	0.05483
élen	0	0	0	0.00565	0.0044	0.00001	0	0	0	0
életben	0	0	0	0.00565	0.00659	0	0.0001	0	0.00368	0
életre	0	0	0	0.00565	0.00659	0	0.0001	0.0001	0.00184	0
ellen	0	0	0	0	0.0044	0.00044	0	0	0	0
ellent	0	0	0	0.00565	0.0044	0.00052	0	0	0	0
elő	0.02967	0	0	0	0.0044	0.01326	0.01061	0.01224	0.00006	0
előre	0.0005	0.0021	0.15094	0.00565	0.00659	0.00102	0.00771	0.00823	0.00054	0
érvénybe	0	0	0	0.00565	0.00659	0	0	0	0	0
észhez	0	0	0	0.00565	0.0044	0	0.0001	0	0.00338	0
észre	0	0	0	0.00565	0.0044	0.00164	0.0001	0	0	0
falra	0	0	0	0.00565	0.0044	0	0.0001	0.0001	0.00253	0
fejbe	0	0	0	0.00565	0.0044	0.00004	0.0006	0.0008	0.00125	0
fejen	0	0	0	0.00565	0.0044	0	0.0002	0.0003	0.0152	0
fel/föl	0.1784	0.25643	0.21056	0	0.0022	0.07669	0.05665	0.04805	0.00004	0
félbe	0	0	0	0.00565	0.0044	0.00034	0.0006	0.0008	0.00016	0
félre	0.00087	0	0.00057	0.00565	0.0044	0.00154	0.00661	0.00682	0.0003	0
felül/fölül	0	0	0	0	0.0044	0.00143	0.0018	0.00181	0.00009	0
fenn/fönn	0.00025	0	0.00014	0	0.0022	0.00316	0.0003	0.0002	0	0
férjhez	0	0	0	0.00565	0.0044	0	0.0001	0	0.00123	0
főbe	0	0	0	0.00565	0.0044	0.00001	0.0001	0.0001	0.00135	0
földet	0	0	0	0.00565	0.0044	0	0	0	0	0
földhöz	0	0	0	0.00565	0.0044	0.00001	0.0001	0.0001	0.00073	0
földre	0	0	0	0.00565	0.0044	0	0.0002	0.0004	0.01351	0
fölé	0	0	0	0	0.0044	0.00002	0.0014	0.00201	0.00678	0.00703
fülön	0	0	0	0.00565	0.0044	0	0.0001	0.0002	0.0045	0
füstbe	0	0	0	0.00565	0.0044	0	0.0001	0.0001	0.00901	0
görcsbe	0	0	0	0.00565	0.0044	0	0	0	0	0
gúzsba	0	0	0	0.00565	0.0044	0	0	0	0	0
hadat	0	0	0	0.00565	0.0044	0	0	0	0	0
hadba	0	0	0	0.00565	0.0044	0	0.0001	0.0001	0.00579	0
hajba	0	0	0	0.00565	0.0044	0	0	0	0	0
hanyatt	0	0	0	0	0.0044	0.00001	0.0003	0.0002	0.00167	0
harcba	0	0	0	0.00565	0.0044	0	0	0	0.00676	0
hasba	0	0	0	0.00565	0.0044	0	0.0002	0.0002	0.00495	0
hasra	0	0	0	0.00565	0.0044	0.00001	0.0003	0.0002	0.00257	0
hatályba	0	0	0	0.00565	0.00659	0	0	0	0	0
hátba	0	0	0	0.00565	0.0044	0.00002	0.0004	0.0005	0.00227	0
hátra	0.0036	0.01432	0.12899	0.00565	0.0044	0.00068	0.00641	0.00682	0.00067	0
haza	0.00273	0.10952	0	0	0.0044	0.00365	0.00781	0.00712	0.00013	0
házhoz	0	0	0	0.00565	0.0044	0	0.0001	0.0001	0.01013	0
hegyet	0	0	0	0.00565	0.0044	0	0	0	0.04054	0
helybe	0	0	0	0.00565	0.0044	0	0.0001	0.0001	0.00737	0
helyben	0	0	0	0.00565	0.0044	0.00014	0.0001	0.0001	0.00007	0
helyre	0.00012	0	0	0.00565	0.0044	0.00094	0.0016	0.00211	0.00015	0
helyt	0	0	0	0.00565	0.0022	0.00016	0.0001	0	0.00002	0
hozzá	0.00062	0.00027	0	0	0.0044	0.01565	0.01021	0.01214	0.00005	0.12577
ide	0.00099	0.00164	0.00079	0	0.0044	0.00127	0.01271	0.01465	0.00078	0
igazat	0	0	0	0.00565	0.00659	0	0.0001	0	0.00811	0
irányt	0	0	0	0.00565	0.0044	0	0	0.0001	0.04054	0
jól	0	0	0	0.00565	0.0022	0.00042	0.0002	0	0	0
jót	0	0	0	0.00565	0.0022	0.00001	0.0001	0	0.0004	0
jóvá	0	0	0	0.00565	0.0044	0.00129	0.0002	0	0	0
kárba	0	0	0	0.00565	0.0044	0	0	0	0	0
karban	0	0	0	0.00565	0.0044	0.00006	0	0	0	0
keresztbe	0	0	0	0.00565	0.00659	0.00002	0.0007	0.0009	0.00301	0
keresztül	0	0	0	0.00565	0.00659	0.00032	0.0046	0.00612	0.0013	0
készen	0	0	0	0.00565	0.0044	0	0	0	0	0
kétségbe	0	0	0	0.00565	0.00659	0.00006	0.0001	0	0	0
ketté	0	0.00018	0	0.00565	0.0044	0.00044	0.0015	0.0016	0.00024	0
kézben	0	0	0	0.00565	0.0044	0	0	0	0	0
