igekötő	reduplikáció	-fele/felé	deverbális_tagadás	fokozhatóság	szerkesztettség	szótagszám	gyakoriság	Pm	Pt	Pl	személyragozhatóság
abba	0.00025	0	0	0	0.00565	0.00439	0.00092	0.0002	0	0	0
ágyba	0	0	0	0	0.00565	0.00439	0	0.0002	0.0003	0.01086	0
agyon	0.00012	0	0	0	0.00565	0.00439	0.00066	0.0085	0.01314	0.00151	0
ajtót	0	0	0	0	0.00565	0.00439	0	0	0	0.04344	0
alá	0.00074	0.00018	0.00598	0.01837	0	0.00439	0.00358	0.0073	0.00843	0.00018	0.00457
alább	0	0	0	0	0	0.00439	0.00011	0.0001	0.0001	0.0001	0
állást	0	0	0	0	0.00565	0.00439	0	0	0	0	0
által	0	0	0	0	0	0.00439	0.0002	0.0013	0.00181	0.00069	0
alul	0	0	0	0	0	0.00439	0.00054	0.0023	0.00271	0.00039	0
arcul	0	0	0	0	0.00565	0.00439	0	0.0001	0.0001	0.00621	0
át	0.02185	0.00027	0.0086	0	0	0.00219	0.0244	0.04232	0.04174	0.00013	0
be/bé	0.07834	0.09612	0.31732	0.05868	0	0.00219	0.07679	0.08004	0.07445	0.00007	0
békén	0	0	0	0	0.00565	0.00439	0.00001	0	0	0.00076	0
bele/belé	0.05624	0.00036	0.00131	0	0	0.00439	0.01262	0.04172	0.04063	0.00024	0.08247
benn	0	0	0	0.00007	0	0.00219	0.00016	0.0005	0.0003	0.00016	0
bent	0	0	0.00019	0.0005	0	0.00219	0.00002	0.0003	0.0002	0.00073	0
bérbe	0	0	0	0	0.00565	0.00439	0.00001	0	0	0	0
bosszút	0	0	0	0	0.00565	0.00439	0	0	0	0	0
célba	0	0	0	0	0.00565	0.00439	0.00001	0.0002	0.0002	0.00242	0
cserben	0	0	0	0	0.00565	0.00439	0.00011	0	0	0	0
csődbe	0	0	0	0	0.00565	0.00439	0	0.0001	0	0.00096	0
csonttá	0	0	0	0	0.00565	0.00439	0	0	0	0	0
csúcsra	0	0	0	0	0.00565	0.00439	0	0	0	0.00543	0
égbe	0	0	0	0	0.00565	0.00439	0	0.0001	0.0001	0.02607	0
egybe	0	0	0.00037	0	0.00565	0.00439	0.00087	0.0051	0.00612	0.00054	0
egyet	0	0	0.02056	0	0.00565	0.00439	0.00544	0	0	0	0
együtt	0	0	0.00635	0	0	0.00439	0.00097	0.0001	0	0	0
éhen	0	0	0	0	0.00565	0.00439	0.00002	0.0001	0.0001	0.00033	0
el	0.15407	0.01258	0.09905	0.00022	0	0.00219	0.19202	0.10365	0.09963	0.00004	0
elé	0.00025	0.00027	0	0.0005	0	0.00439	0.00007	0.0026	0.00331	0.00389	0.05483
élen	0	0	0	0	0.00565	0.00439	0.00001	0	0	0	0
életben	0	0	0	0	0.00565	0.00658	0	0.0001	0	0.00395	0
életre	0	0	0	0	0.00565	0.00658	0	0.0001	0.0001	0.00242	0
